,D_c,D_z_1,D_z_2
206,187.5944,188.0794,188.2196
207,188.5064,189.0284,189.174
208,189.463,190.002,190.145
209,190.4344,190.9414,191.086
210,191.374,191.9054,192.053
211,192.3434,192.8904,193.0316
212,193.3184,193.8374,193.9742
213,194.2624,194.7944,194.94
214,195.229,195.7434,195.8858
215,196.174,196.6464,196.785
216,197.0744,197.556,197.7006
217,197.9884,198.4924,198.637
218,198.924,199.386,199.5354
219,199.823,200.312,200.457
220,200.746,201.2664,201.4094
221,201.6974,202.213,202.3524
222,202.6444,203.154,203.2968
223,203.5834,204.102,204.2456
224,204.537,205.0134,205.1526
225,205.4464,205.919,206.0628
226,206.353,206.848,206.9894
227,207.2754,207.748,207.8848
228,208.177,208.625,208.7732
229,209.0584,209.554,209.6978
230,209.9824,210.4744,210.6172
231,210.9074,211.3704,211.5154
232,211.8024,212.293,212.438
233,212.7254,213.21,213.3498
234,213.64,214.0774,214.2208
235,214.506,214.9574,215.1028
236,215.389,215.856,215.9982
237,216.2854,216.738,216.879
238,217.166,217.654,217.7948
239,218.083,218.606,218.7508
240,219.041,219.54,219.6782
241,219.964,220.4734,220.6192
242,220.907,221.425,221.5668
243,221.857,222.3284,222.4712
244,222.759,223.232,223.377
245,223.6644,224.1544,224.2976
246,224.587,225.0394,225.1796
247,225.468,225.929,226.0746
248,226.363,226.84,226.9852
249,227.273,227.7464,227.8862
250,228.1764,228.6464,228.7944
251,229.083,229.628,229.7712
252,230.0594,230.5794,230.719
253,231.0044,231.5014,231.6438
254,231.9314,232.4774,232.6184
255,232.91,233.446,233.5848
256,233.8714,234.3634,234.5058
257,234.7954,235.3054,235.4504
258,235.741,236.244,236.3866
259,236.6744,237.1504,237.2938
260,237.5814,238.0844,238.229
261,238.518,239.033,239.1756
262,239.466,239.948,240.097
263,240.3854,240.9024,241.0462
264,241.3344,241.8564,241.9986
265,242.2854,242.784,242.9262
266,243.2164,243.7274,243.8708
267,244.161,244.6714,244.814
268,245.1044,245.565,245.7082
269,245.9954,246.4644,246.611
270,246.898,247.3914,247.5344
271,247.823,248.3074,248.4516
272,248.741,249.227,249.3686
273,249.658,250.152,250.294
274,250.5784,251.0504,251.1924
275,251.4824,251.9554,252.101
276,252.3864,252.8814,253.0262
277,253.2904,253.7814,253.9232
278,254.2037,254.687,254.83
279,255.117,255.603,255.7454
280,256.0354,256.4774,256.62
281,256.9084,257.3704,257.5156
282,257.8024,258.284,258.4288
283,258.72,259.1954,259.338
284,259.6254,260.0784,260.2226
285,260.5094,260.9934,261.1394
286,261.4294,261.9004,262.042
287,262.328,262.7674,262.9152
288,263.2054,263.681,263.8254
289,264.115,264.6064,264.7522
290,265.042,265.5054,265.65
291,265.939,266.398,266.5432
292,266.8334,267.314,267.4588
293,267.746,268.2204,268.36
294,268.653,269.0904,269.2312
295,269.517,270.004,270.1496
296,270.44,270.9364,271.0798
297,271.372,,
